Const,male,age,I(age^2),vaccine08,True.Const,True.male,True.age,True.I(age^2),True.vaccine08,HTE.cover1,HTE.cover2,HTE.truecover
-0.095475673,0.110268877,0.020182417,-0.00026413,0.222630916,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.0023069,0.03831722,0.014023354,-0.000177215,0.219006434,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.060494403,0.082026495,0.009572881,-0.000124557,0.05833171,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.088584363,0.02657313,0.009886693,-0.000169299,0.313400802,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.104835011,0.120640051,0.007029312,-9.04E-05,0.283502456,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.07854349,-0.026203573,0.009091073,-0.000130939,0.220879542,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.068805325,0.062039167,0.010596634,-0.000131467,0.080875563,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
-0.05513907,0.111777411,0.017230403,-0.00022223,0.096679607,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.202565824,0.047973416,0.001667,-5.20E-05,0.184452936,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
-0.021088972,0.216863973,0.01105524,-0.000165154,0.217626119,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.072112992,0.151240265,0.00440997,-6.65E-05,0.253833992,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
-0.068891078,0.143162594,0.013477053,-0.000167152,0.331196983,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.01788152,0.083386888,0.008646597,-7.49E-05,0.265072811,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.104857447,0.115879879,0.005954603,-0.000119515,0.110061719,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.110139925,0.125291479,0.003346033,-2.97E-05,0.184463912,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.00094984,0.023476422,0.015438158,-0.000216991,0.314731807,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
-0.022569105,0.072569268,0.011678589,-0.000128349,0.124119266,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.031488105,0.088817803,0.011991017,-0.000157367,0.089120981,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.080210985,0.124122574,0.007243457,-0.000132062,0.324849085,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.1068368,0.064049453,0.006699145,-9.56E-05,0.103134241,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
-0.117691176,0.107713979,0.019226372,-0.00024369,0.270772851,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.020070386,0.029406467,0.015239235,-0.000214098,0.135927114,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.083468384,0.024142228,0.009053077,-0.000103796,0.187005507,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.064401616,0.040040929,0.013292728,-0.00020961,0.160997941,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.003890922,0.046823115,0.014467027,-0.000222132,0.231580554,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
-0.018886855,0.046911803,0.016722501,-0.00024467,0.084371966,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.038030935,0.094435852,0.01206798,-0.000193007,0.263247733,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.052747835,0.072531854,0.012132752,-0.000174534,0.149806306,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.119185879,-0.007410485,0.006987821,-0.000108153,0.16614804,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
0.047931337,-0.048663877,0.010634013,-0.000146462,0.26810454,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,1,1,1
