Est.NoA.NT.LB,Est.NoA.NT.UB,Est.NoA.AT.LB,Est.NoA.AT.UB,Est.NoA.CO.LB,Est.NoA.CO.UB,Est.A.NT.LB,Est.A.NT.UB,Est.A.AT.LB,Est.A.AT.UB,Est.A.CO.LB,Est.A.CO.UB,True.NoA.NT.LB,True.NoA.NT.UB,True.NoA.AT.LB,True.NoA.AT.UB,True.NoA.CO.LB,True.NoA.CO.UB,True.A.NT.LB,True.A.NT.UB,True.A.AT.LB,True.A.AT.UB,True.A.CO.LB,True.A.CO.UB,CI.NoA.NT.LB,CI.NoA.NT.UB,CI.NoA.AT.LB,CI.NoA.AT.UB,CI.NoA.CO.LB,CI.NoA.CO.UB,CI.A.NT.LB,CI.A.NT.UB,CI.A.AT.LB,CI.A.AT.UB,CI.A.CO.LB,CI.A.CO.UB,Cover.NoA.NT,Cover.NoA.AT,Cover.NoA.CO,Cover.A.NT,Cover.A.AT,Cover.A.CO
0.141681603,0.236842105,0,0.606557377,0.048888665,1,0.174584733,0.229445761,0,0.599724422,0.063085033,0.839480513,0.102040816,0.220408163,0,0.638888889,0.083969466,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,0.056891061,0.321760168,0,0.727311248,0,1,0.107790871,0.315394345,0,0.697140869,0.01880035,1,1,1,1,0,1,1
0.139373802,0.232,0,0.642857143,0.019434124,1,0.138381339,0.227398267,0,0.619593881,0.078011489,0.890585223,0.102040816,0.220408163,0,0.638888889,0.083969466,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,0.057011311,0.312523321,0,0.775862069,0,1,0.078150441,0.307119115,0,0.731744519,0.041966562,1,1,1,1,1,1,1
0.083712121,0.2,0,0.631578947,0.040177569,1,0.130620105,0.206420614,0,0.636510068,0.106355362,0.883654391,0.102040816,0.220408163,0,0.638888889,0.083969466,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,0,0.286960827,0,0.75,0,1,0.061828747,0.293073155,0,0.740942365,0.055871592,1,1,1,1,1,1,1
0.098663842,0.201754386,0,0.642857143,0.187663055,1,0.104426774,0.205445913,0,0.652699801,0.200206555,0.87607147,0.102040816,0.220408163,0,0.638888889,0.083969466,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,0.012956497,0.281012397,0,0.789504284,0.055638049,1,0.050599117,0.282019209,0,0.795562251,0.096460856,0.993591727,1,1,1,1,1,1
0.128249431,0.243697479,0,0.610169492,0,1,0.147983614,0.239609465,0,0.539987887,0.038843275,0.803325933,0.102040816,0.220408163,0,0.638888889,0.083969466,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,0.044985882,0.333403361,0,0.728577482,0,1,0.084471615,0.325874362,0,0.680620544,0.006733517,0.943740836,1,1,1,1,1,1
0.117291256,0.239316239,0,0.642857143,0.063023634,1,0.121046303,0.234907377,0,0.648673214,0.119286936,0.900118176,0.102040816,0.220408163,0,0.638888889,0.083969466,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,0.015464974,0.330833333,0,0.770527754,0,1,0.05043013,0.328166457,0,0.770669584,0.050325214,1,1,1,1,1,1,1
0.082379677,0.189189189,0,0.716981132,0.144796057,1,0.085619143,0.19150378,0,0.71153433,0.153843466,0.942030745,0.102040816,0.220408163,0,0.638888889,0.083969466,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,0,0.265959887,0,0.836746559,0,1,0.032595658,0.270194449,0,0.826526967,0.078568496,1,1,1,1,1,1,1
0.02930353,0.182608696,0,0.631578947,0.089607752,1,0.068416093,0.181097706,0,0.529888459,0.138524761,0.82571119,0.102040816,0.220408163,0,0.638888889,0.083969466,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,0,0.261271786,0,0.773633038,0,1,0.018695408,0.259022661,0,0.706765345,0.033833538,0.962829172,1,1,1,1,1,1
0.093098958,0.208333333,0,0.603773585,0.097609315,1,0.133068114,0.212851402,0,0.631722488,0.11885286,0.919128415,0.102040816,0.220408163,0,0.638888889,0.083969466,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,0,0.285745342,0,0.730792683,0,1,0.073227752,0.286936626,0,0.740411515,0.02663573,1,1,1,1,1,1,1
0.117851852,0.24,0,0.649122807,0.022098556,1,0.122379255,0.241246868,0,0.537603148,0.125970423,0.915296547,0.102040816,0.220408163,0,0.638888889,0.083969466,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,0.02494178,0.324335874,0,0.764766317,0,1,0.065119994,0.3247892,0,0.706379075,0.062373297,1,1,1,1,1,1,1
0.099415205,0.230769231,0,0.620689655,0.042410771,1,0.126122179,0.231167774,0,0.554027177,0.105152957,0.941324524,0.102040816,0.220408163,0,0.638888889,0.083969466,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,0,0.312513587,0,0.73241784,0,1,0.066536756,0.312318945,0,0.705232846,0.026141014,1,1,1,1,1,1,1
0.036697248,0.17699115,0,0.62745098,0.132449397,1,0.061326261,0.178290714,0,0.636363492,0.147264386,0.945203374,0.102040816,0.220408163,0,0.638888889,0.083969466,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,0,0.247985537,0,0.750117925,0,1,0.016711487,0.248842155,0,0.754223351,0.072789379,1,1,1,1,1,1,1
0.083819629,0.206896552,0,0.625,0.102828082,1,0.100559368,0.207432767,0,0.55394133,0.150430323,0.940408643,0.102040816,0.220408163,0,0.638888889,0.083969466,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,0,0.284482759,0,0.75439424,0,1,0.050909654,0.282021516,0,0.711770392,0.042622766,1,1,1,1,1,1,1
0.139643312,0.224,0,0.641509434,0.132990766,1,0.136465803,0.222483665,0,0.605880139,0.159803024,1,0.102040816,0.220408163,0,0.638888889,0.083969466,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,0.05119525,0.307086614,0,0.770833333,0,1,0.065750098,0.306600069,0,0.749054482,0.059792645,1,1,1,1,1,1,1
0.148136598,0.256198347,0,0.610169492,0.064689817,1,0.140641046,0.25364139,0,0.463548609,0.141574013,0.901882058,0.102040816,0.220408163,0,0.638888889,0.083969466,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,0.057423275,0.341269841,0,0.728862451,0,1,0.071458456,0.336186283,0,0.655530682,0.039132812,1,1,1,1,1,1,1
0.090756705,0.206896552,0,0.606557377,0.064391897,1,0.091010989,0.205687931,0,0.528997792,0.081261762,0.979783159,0.102040816,0.220408163,0,0.638888889,0.083969466,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,0,0.296304143,0,0.733396226,0,1,0.037145595,0.29384176,0,0.683460296,0.028944286,1,1,1,1,1,1,1
0.04799311,0.193277311,0,0.631578947,0.047855163,1,0.102635058,0.193485385,0,0.558384736,0.097909106,0.939367677,0.102040816,0.220408163,0,0.638888889,0.083969466,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,0,0.272784091,0,0.75,0,1,0.049538137,0.272206263,0,0.725301027,0.024549739,1,1,1,1,1,1,1
0.100457354,0.231404959,0,0.620689655,0.044828374,1,0.141101958,0.229893056,0,0.539521769,0.107088562,0.919298636,0.102040816,0.220408163,0,0.638888889,0.083969466,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,0.009274372,0.315811404,0,0.75,0,1,0.091349503,0.313237819,0,0.714177348,0.051264193,1,1,1,1,1,1,1
0.08802297,0.226086957,0,0.614035088,0.084548319,1,0.124031542,0.213782199,0,0.608470083,0.143965975,0.886612118,0.102040816,0.220408163,0,0.638888889,0.083969466,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,0,0.313752723,0,0.75,0,1,0.060561627,0.303237226,0,0.738240117,0.064623197,1,1,1,1,1,1,1
0.133803886,0.229508197,0,0.590163934,0.030968788,1,0.131239293,0.226193407,0,0.495036163,0.075891403,0.967787916,0.102040816,0.220408163,0,0.638888889,0.083969466,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,0.044269538,0.317469546,0,0.696987315,0,1,0.059815993,0.316956301,0,0.639695052,0.01828492,1,1,1,1,1,1,1
0.108587525,0.204918033,0,0.6,0.029317889,1,0.103457724,0.202519131,0,0.394385341,0.129188292,0.936818136,0.102040816,0.220408163,0,0.638888889,0.083969466,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,0.024653718,0.284581882,0,0.744691281,0,1,0.0458885,0.278971489,0,0.628190119,0.049909286,1,1,1,1,1,1,1
