ITT.est1,ITT.est0,ITT.est,ITT.se,ITT.stat,ITT.true1,ITT.true0,ITT.true,ITT.truese,ITT.cover,ITT.truecover,Asize
0.325732899,0.113636364,0.212096535,0.032199222,6.587008177,0.346341463,0.110569106,0.235772358,0.028317025,1,1,244
0.339041096,0.086687307,0.252353789,0.033276545,7.583533274,0.346341463,0.110569106,0.235772358,0.028317025,1,1,220
0.316326531,0.118380062,0.197946468,0.033268443,5.949977017,0.346341463,0.110569106,0.235772358,0.028317025,1,1,234
0.344827586,0.110769231,0.234058355,0.034370457,6.809870325,0.346341463,0.110569106,0.235772358,0.028317025,1,1,229
0.340425532,0.087087087,0.253338445,0.032211021,7.864961563,0.346341463,0.110569106,0.235772358,0.028317025,1,1,224
0.347972973,0.12539185,0.222581123,0.033711311,6.602565072,0.346341463,0.110569106,0.235772358,0.028317025,1,1,238
0.338983051,0.1125,0.226483051,0.034548077,6.555590585,0.346341463,0.110569106,0.235772358,0.028317025,1,1,228
0.340206186,0.114197531,0.226008655,0.034815058,6.491692552,0.346341463,0.110569106,0.235772358,0.028317025,1,1,223
0.342465753,0.120743034,0.221722719,0.033741722,6.57117386,0.346341463,0.110569106,0.235772358,0.028317025,1,1,233
0.340277778,0.113149847,0.227127931,0.032893181,6.905015777,0.346341463,0.110569106,0.235772358,0.028317025,1,1,226
0.348275862,0.113846154,0.234429708,0.034243925,6.845877225,0.346341463,0.110569106,0.235772358,0.028317025,1,1,230
0.352159468,0.095541401,0.256618067,0.034276114,7.486789962,0.346341463,0.110569106,0.235772358,0.028317025,1,1,229
0.36026936,0.116352201,0.243917159,0.032041643,7.612504747,0.346341463,0.110569106,0.235772358,0.028317025,1,1,235
0.343642612,0.12037037,0.223272241,0.033222016,6.720610794,0.346341463,0.110569106,0.235772358,0.028317025,1,1,236
0.33447099,0.124223602,0.210247387,0.033926463,6.197150146,0.346341463,0.110569106,0.235772358,0.028317025,1,1,231
0.349673203,0.122977346,0.226695856,0.034404777,6.589080736,0.346341463,0.110569106,0.235772358,0.028317025,1,1,243
0.356902357,0.122641509,0.234260847,0.036255681,6.461355579,0.346341463,0.110569106,0.235772358,0.028317025,1,1,239
0.336769759,0.117283951,0.219485809,0.033350653,6.581154713,0.346341463,0.110569106,0.235772358,0.028317025,1,1,230
0.308219178,0.108359133,0.199860045,0.033899835,5.895605262,0.346341463,0.110569106,0.235772358,0.028317025,1,1,225
0.360824742,0.104938272,0.255886471,0.033978628,7.530806419,0.346341463,0.110569106,0.235772358,0.028317025,1,1,234
0.36,0.104761905,0.255238095,0.032331877,7.894317244,0.346341463,0.110569106,0.235772358,0.028317025,1,1,232
0.379194631,0.119873817,0.259320814,0.034310746,7.558005648,0.346341463,0.110569106,0.235772358,0.028317025,1,1,240
0.341137124,0.120253165,0.220883959,0.034473088,6.407431749,0.346341463,0.110569106,0.235772358,0.028317025,1,1,243
0.326666667,0.120634921,0.206031746,0.033147658,6.215574657,0.346341463,0.110569106,0.235772358,0.028317025,1,1,233
0.359861592,0.116564417,0.243297175,0.034640305,7.023528681,0.346341463,0.110569106,0.235772358,0.028317025,1,1,230
0.326666667,0.123809524,0.202857143,0.03295688,6.155228892,0.346341463,0.110569106,0.235772358,0.028317025,1,1,234
0.360824742,0.114197531,0.246627211,0.033170891,7.435049372,0.346341463,0.110569106,0.235772358,0.028317025,1,1,234
0.35483871,0.113095238,0.241743472,0.034717923,6.963074037,0.346341463,0.110569106,0.235772358,0.028317025,1,1,222
0.33442623,0.109677419,0.22474881,0.033055699,6.799094228,0.346341463,0.110569106,0.235772358,0.028317025,1,1,241
0.349152542,0.125,0.224152542,0.034659189,6.467333653,0.346341463,0.110569106,0.235772358,0.028317025,1,1,235
0.363636364,0.125786164,0.2378502,0.033965112,7.002779695,0.346341463,0.110569106,0.235772358,0.028317025,1,1,253
0.326797386,0.106796117,0.220001269,0.032890522,6.688895736,0.346341463,0.110569106,0.235772358,0.028317025,1,1,238
0.361403509,0.093939394,0.267464115,0.03402068,7.861809764,0.346341463,0.110569106,0.235772358,0.028317025,1,1,234
0.379661017,0.115625,0.264036017,0.034075561,7.748545004,0.346341463,0.110569106,0.235772358,0.028317025,1,1,236
0.350877193,0.115151515,0.235725678,0.033871784,6.959352213,0.346341463,0.110569106,0.235772358,0.028317025,1,1,231
0.362416107,0.126182965,0.236233142,0.033385534,7.075913259,0.346341463,0.110569106,0.235772358,0.028317025,1,1,241
0.356435644,0.092948718,0.263486926,0.032709565,8.055347881,0.346341463,0.110569106,0.235772358,0.028317025,1,1,233
0.376712329,0.086687307,0.290025022,0.032810135,8.839495052,0.346341463,0.110569106,0.235772358,0.028317025,1,1,226
